KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
53390784,0,,,1548,768,780,193,98,95,1331,658,673,893,460,433,1267,630,637,1240,620,620,438,198,240,236,101,135,58,26,32,3,1,2,13,2,11,627,625,183,190,106,101,34,9,2,441,390,51,52,273,12,62,86
53390785,0,,,1660,843,817,200,99,101,1448,739,709,951,497,454,1409,724,685,1385,707,678,497,242,255,218,105,113,49,20,29,2,0,2,18,11,7,668,668,165,220,150,84,30,15,4,499,434,65,55,320,16,59,111
53390786,0,,,331,167,164,18,8,10,312,158,154,180,94,86,301,153,148,296,150,146,132,64,68,76,29,47,32,13,19,2,0,2,1,0,1,119,119,29,29,26,22,5,4,4,90,59,31,3,85,0,17,15
53390787,0,,,420,173,247,24,12,12,395,160,235,151,79,72,391,158,233,389,157,232,244,81,163,182,48,134,113,17,96,26,2,24,9,0,9,108,105,29,33,16,14,9,1,3,76,55,21,6,68,8,12,17
53390788,0,,,189,105,84,13,5,8,176,100,76,104,68,36,174,98,76,173,98,75,72,32,40,32,12,20,10,4,6,3,2,1,5,0,5,59,58,14,11,19,9,2,3,0,44,24,20,2,41,3,9,6
53390789,0,,,37,18,19,3,0,3,34,18,16,22,12,10,34,18,16,33,17,16,12,6,6,6,3,3,2,1,1,0,0,0,1,0,1,12,12,3,3,2,3,0,0,1,9,6,3,1,8,0,2,2
53390792,0,,,151,65,86,12,5,7,139,60,79,78,34,44,135,60,75,133,58,75,61,26,35,26,9,17,6,0,6,3,0,3,4,1,3,58,58,13,22,7,12,2,1,1,45,34,11,1,41,0,9,11
53390793,0,,,689,332,357,77,46,31,607,283,324,348,174,174,587,274,313,577,268,309,259,109,150,128,47,81,46,12,34,3,0,3,7,2,5,264,262,56,95,53,37,16,3,2,203,174,29,20,153,1,30,40
53390794,0,,,4576,2379,2197,532,265,267,3986,2083,1903,2630,1476,1154,3891,2034,1857,3809,1995,1814,1356,607,749,763,317,446,234,92,142,24,4,20,63,30,33,1988,1980,843,525,297,220,72,16,7,1116,1012,104,184,819,141,297,199
53390795,0,,,2924,1416,1508,292,142,150,2581,1249,1332,1542,785,757,2505,1214,1291,2448,1189,1259,1039,464,575,539,241,298,131,51,80,6,0,6,42,25,17,1340,1340,506,408,206,147,48,21,4,824,709,115,79,734,28,262,193
53390796,0,,,107,54,53,4,3,1,100,49,51,63,34,29,97,48,49,96,48,48,37,15,22,21,8,13,3,0,3,1,0,1,0,0,0,43,43,9,16,11,3,3,1,0,34,26,8,0,26,0,6,4
53390797,0,,,319,162,157,27,16,11,292,146,146,173,89,84,281,139,142,277,138,139,119,57,62,52,23,29,18,5,13,2,0,2,1,0,1,114,114,16,39,26,23,8,1,1,97,75,22,5,75,0,10,19
53390798,0,,,77,40,37,4,2,2,73,38,35,42,24,18,72,38,34,71,37,34,31,14,17,14,7,7,7,2,5,0,0,0,0,0,0,25,25,3,4,9,7,1,1,0,22,16,6,1,20,0,3,1
53390799,0,,,68,36,32,4,3,1,64,33,31,35,19,16,63,33,30,62,32,30,29,14,15,14,8,6,4,2,2,0,0,0,0,0,0,26,26,6,8,5,5,1,1,0,20,12,8,2,19,0,3,4
53391003,0,,,19,8,11,3,1,2,16,7,9,12,6,6,16,7,9,16,7,9,4,1,3,3,1,2,0,0,0,0,0,0,0,0,0,8,8,2,4,0,1,1,0,0,6,6,0,0,3,0,1,1
53391005,0,,,92,45,47,2,1,1,90,44,46,48,25,23,87,42,45,86,41,45,42,19,23,23,10,13,4,1,3,0,0,0,0,0,0,36,36,9,12,8,3,2,1,1,27,21,6,0,29,0,6,8
53391013,0,,,12,5,7,2,1,1,10,4,6,6,2,4,9,4,5,9,4,5,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,4,4,1,1,1,0,0,1,0,3,2,1,1,3,0,1,1
